pass_player,rec_player,passing_att,passing_cmp,passing_yds,passing_tds,passing_int,cmp_per_att,yds_per_att,tds_per_att,int_per_att,a,b,c,d,passer_rtg,rec_pos
R.Tannehill,J.Cameron,66,32.0,324.0,3.0,4.0,0.484848484848,4.90909090909,0.0454545454545,0.0606060606061,0.924242424242,0.477272727273,0.909090909091,0.859848484848,52.8409090909,TE
A.Luck,T.Hilton,65,31.0,548.0,3.0,6.0,0.476923076923,8.43076923077,0.0461538461538,0.0923076923077,0.884615384615,1.35769230769,0.923076923077,0.0673076923077,53.8782051282,WR
P.Rivers,M.Floyd,65,29.0,549.0,3.0,5.0,0.446153846154,8.44615384615,0.0461538461538,0.0769230769231,0.730769230769,1.36153846154,0.923076923077,0.451923076923,57.7884615385,
M.Ryan,R.White,66,40.0,459.0,1.0,4.0,0.606060606061,6.95454545455,0.0151515151515,0.0606060606061,1.5303030303,0.988636363636,0.30303030303,0.859848484848,61.3636363636,
T.Brady,B.LaFell,73,37.0,515.0,0.0,2.0,0.506849315068,7.05479452055,0.0,0.027397260274,1.03424657534,1.01369863014,0.0,1.69006849315,62.3002283105,WR
J.McCown,T.Benjamin,58,31.0,377.0,1.0,2.0,0.534482758621,6.5,0.0172413793103,0.0344827586207,1.1724137931,0.875,0.344827586207,1.51293103448,65.0862068966,WR
A.Rodgers,D.Adams,94,50.0,495.0,1.0,1.0,0.531914893617,5.26595744681,0.0106382978723,0.0106382978723,1.15957446809,0.566489361702,0.212765957447,2.10904255319,67.4645390071,WR
R.Tannehill,K.Stills,59,25.0,432.0,3.0,2.0,0.423728813559,7.32203389831,0.0508474576271,0.0338983050847,0.618644067797,1.08050847458,1.01694915254,1.52754237288,70.7274011299,WR
P.Manning,D.Thomas,98,63.0,778.0,1.0,5.0,0.642857142857,7.9387755102,0.0102040816327,0.0510204081633,1.71428571429,1.23469387755,0.204081632653,1.09948979592,70.8758503401,WR
J.Winston,M.Evans,131,65.0,1054.0,3.0,4.0,0.496183206107,8.04580152672,0.0229007633588,0.030534351145,0.980916030534,1.26145038168,0.458015267176,1.61164122137,71.8670483461,WR
T.Bridgewater,M.Wallace,70,39.0,473.0,2.0,2.0,0.557142857143,6.75714285714,0.0285714285714,0.0285714285714,1.28571428571,0.939285714286,0.571428571429,1.66071428571,74.2857142857,WR
J.Cutler,M.Bennett,68,43.0,379.0,3.0,3.0,0.632352941176,5.57352941176,0.0441176470588,0.0441176470588,1.66176470588,0.643382352941,0.882352941176,1.27205882353,74.3259803922,TE
C.Kaepernick,A.Boldin,54,31.0,372.0,2.0,2.0,0.574074074074,6.88888888889,0.037037037037,0.037037037037,1.37037037037,0.972222222222,0.740740740741,1.44907407407,75.5401234568,WR
A.Smith,A.Wilson,57,35.0,451.0,2.0,3.0,0.614035087719,7.91228070175,0.0350877192982,0.0526315789474,1.5701754386,1.22807017544,0.701754385965,1.05921052632,75.9868421053,WR
