pass_player,rec_player,passing_att,passing_cmp,passing_yds,passing_tds,passing_int,cmp_per_att,yds_per_att,tds_per_att,int_per_att,a,b,c,d,passer_rtg,rec_pos
G.Smith,S.Holmes,59,23.0,456.0,1.0,5.0,0.389830508475,7.72881355932,0.0169491525424,0.0847457627119,0.449152542373,1.18220338983,0.338983050847,0.256355932203,37.1115819209,
G.Smith,S.Hill,55,24.0,342.0,1.0,4.0,0.436363636364,6.21818181818,0.0181818181818,0.0727272727273,0.681818181818,0.804545454545,0.363636363636,0.556818181818,40.1136363636,
R.Fitzpatrick,N.Washington,53,30.0,470.0,1.0,6.0,0.566037735849,8.8679245283,0.0188679245283,0.11320754717,1.33018867925,1.46698113208,0.377358490566,0.0,52.9088050314,
E.Manning,H.Nicks,101,56.0,896.0,0.0,7.0,0.554455445545,8.87128712871,0.0,0.0693069306931,1.27227722772,1.46782178218,0.0,0.642326732673,56.3737623762,
A.Luck,D.Heyward-Bey,58,26.0,276.0,1.0,1.0,0.448275862069,4.75862068966,0.0172413793103,0.0172413793103,0.741379310345,0.439655172414,0.344827586207,1.94396551724,57.8304597701,WR
E.Manuel,S.Johnson,67,33.0,424.0,2.0,3.0,0.492537313433,6.32835820896,0.0298507462687,0.044776119403,0.962686567164,0.832089552239,0.597014925373,1.25559701493,60.789800995,WR
J.Flacco,J.Jones,67,37.0,449.0,2.0,4.0,0.55223880597,6.70149253731,0.0298507462687,0.0597014925373,1.26119402985,0.925373134328,0.597014925373,0.882462686567,61.1007462687,
M.Stafford,K.Durham,85,38.0,490.0,2.0,2.0,0.447058823529,5.76470588235,0.0235294117647,0.0235294117647,0.735294117647,0.691176470588,0.470588235294,1.78676470588,61.3970588235,
M.Schaub,A.Johnson,94,56.0,640.0,0.0,4.0,0.595744680851,6.8085106383,0.0,0.0425531914894,1.47872340426,0.952127659574,0.0,1.31117021277,62.3670212766,WR
R.Tannehill,M.Wallace,139,73.0,930.0,5.0,7.0,0.525179856115,6.69064748201,0.0359712230216,0.0503597122302,1.12589928058,0.922661870504,0.719424460432,1.11600719424,64.7332134293,WR
P.Rivers,V.Brown,68,40.0,446.0,1.0,3.0,0.588235294118,6.55882352941,0.0147058823529,0.0441176470588,1.44117647059,0.889705882353,0.294117647059,1.27205882353,64.9509803922,
C.Palmer,A.Roberts,63,32.0,360.0,2.0,2.0,0.507936507937,5.71428571429,0.031746031746,0.031746031746,1.03968253968,0.678571428571,0.634920634921,1.58134920635,65.5753968254,WR
E.Manning,R.Randle,77,41.0,611.0,6.0,8.0,0.532467532468,7.93506493506,0.0779220779221,0.103896103896,1.16233766234,1.23376623377,1.55844155844,0.0,65.9090909091,
C.Palmer,M.Floyd,96,56.0,779.0,4.0,7.0,0.583333333333,8.11458333333,0.0416666666667,0.0729166666667,1.41666666667,1.27864583333,0.833333333333,0.552083333333,68.0121527778,WR
M.Glennon,V.Jackson,118,58.0,861.0,7.0,7.0,0.491525423729,7.29661016949,0.0593220338983,0.0593220338983,0.957627118644,1.07415254237,1.18644067797,0.891949152542,68.5028248588,WR
R.Griffin,S.Moss,55,28.0,342.0,1.0,1.0,0.509090909091,6.21818181818,0.0181818181818,0.0181818181818,1.04545454545,0.804545454545,0.363636363636,1.92045454545,68.9015151515,
M.Ryan,H.Douglas,130,84.0,1060.0,2.0,8.0,0.646153846154,8.15384615385,0.0153846153846,0.0615384615385,1.73076923077,1.28846153846,0.307692307692,0.836538461538,69.391025641,WR
T.Pryor,R.Streater,53,32.0,460.0,2.0,4.0,0.603773584906,8.67924528302,0.0377358490566,0.0754716981132,1.51886792453,1.41981132075,0.754716981132,0.48820754717,69.6933962264,WR
C.Henne,C.Shorts,55,32.0,413.0,1.0,2.0,0.581818181818,7.50909090909,0.0181818181818,0.0363636363636,1.40909090909,1.12727272727,0.363636363636,1.46590909091,72.7651515152,
A.Dalton,A.Green,178,98.0,1426.0,11.0,12.0,0.550561797753,8.01123595506,0.061797752809,0.0674157303371,1.25280898876,1.25280898876,1.23595505618,0.689606741573,73.8529962547,WR
G.Smith,B.Powell,52,33.0,247.0,0.0,0.0,0.634615384615,4.75,0.0,0.0,1.67307692308,0.4375,0.0,2.375,74.7596153846,RB
B.Weeden,J.Cameron,53,33.0,407.0,2.0,3.0,0.622641509434,7.67924528302,0.0377358490566,0.0566037735849,1.61320754717,1.16981132075,0.754716981132,0.959905660377,74.9606918239,TE
A.Smith,D.McCluster,72,44.0,407.0,1.0,1.0,0.611111111111,5.65277777778,0.0138888888889,0.0138888888889,1.55555555556,0.663194444444,0.277777777778,2.02777777778,75.4050925926,
