pass_player,rec_player,passing_att,passing_cmp,passing_yds,passing_tds,passing_int,cmp_per_att,yds_per_att,tds_per_att,int_per_att,a,b,c,d,passer_rtg,rec_pos
A.Luck,T.Hilton,65,31.0,548.0,3.0,6.0,0.476923076923,8.43076923077,0.0461538461538,0.0923076923077,0.884615384615,1.35769230769,0.923076923077,0.0673076923077,53.8782051282,WR
P.Rivers,M.Floyd,69,30.0,561.0,3.0,5.0,0.434782608696,8.13043478261,0.0434782608696,0.0724637681159,0.673913043478,1.28260869565,0.869565217391,0.563405797101,56.4915458937,
R.Tannehill,J.Cameron,70,35.0,386.0,3.0,4.0,0.5,5.51428571429,0.0428571428571,0.0571428571429,1.0,0.628571428571,0.857142857143,0.946428571429,57.2023809524,TE
N.Foles,K.Britt,51,24.0,421.0,1.0,3.0,0.470588235294,8.25490196078,0.0196078431373,0.0588235294118,0.852941176471,1.3137254902,0.392156862745,0.904411764706,57.7205882353,WR
N.Foles,J.Cook,56,29.0,370.0,0.0,2.0,0.517857142857,6.60714285714,0.0,0.0357142857143,1.08928571429,0.901785714286,0.0,1.48214285714,57.8869047619,TE
T.Brady,B.LaFell,73,37.0,515.0,0.0,2.0,0.506849315068,7.05479452055,0.0,0.027397260274,1.03424657534,1.01369863014,0.0,1.69006849315,62.3002283105,WR
M.Ryan,R.White,70,43.0,506.0,1.0,4.0,0.614285714286,7.22857142857,0.0142857142857,0.0571428571429,1.57142857143,1.05714285714,0.285714285714,0.946428571429,64.3452380952,
J.McCown,T.Benjamin,66,35.0,424.0,1.0,2.0,0.530303030303,6.42424242424,0.0151515151515,0.030303030303,1.15151515152,0.856060606061,0.30303030303,1.61742424242,65.4671717172,WR
A.Rodgers,D.Adams,94,50.0,495.0,1.0,1.0,0.531914893617,5.26595744681,0.0106382978723,0.0106382978723,1.15957446809,0.566489361702,0.212765957447,2.10904255319,67.4645390071,WR
R.Tannehill,K.Stills,63,27.0,440.0,3.0,2.0,0.428571428571,6.98412698413,0.047619047619,0.031746031746,0.642857142857,0.996031746032,0.952380952381,1.58134920635,69.5436507937,WR
J.Winston,M.Evans,148,74.0,1211.0,3.0,5.0,0.5,8.18243243243,0.0202702702703,0.0337837837838,1.0,1.29560810811,0.405405405405,1.53040540541,70.5236486486,WR
P.Manning,D.Thomas,98,63.0,778.0,1.0,5.0,0.642857142857,7.9387755102,0.0102040816327,0.0510204081633,1.71428571429,1.23469387755,0.204081632653,1.09948979592,70.8758503401,WR
T.Bridgewater,M.Wallace,70,39.0,473.0,2.0,2.0,0.557142857143,6.75714285714,0.0285714285714,0.0285714285714,1.28571428571,0.939285714286,0.571428571429,1.66071428571,74.2857142857,WR
C.Kaepernick,A.Boldin,54,31.0,372.0,2.0,2.0,0.574074074074,6.88888888889,0.037037037037,0.037037037037,1.37037037037,0.972222222222,0.740740740741,1.44907407407,75.5401234568,WR
J.Cutler,M.Bennett,71,46.0,397.0,3.0,3.0,0.647887323944,5.59154929577,0.0422535211268,0.0422535211268,1.73943661972,0.647887323944,0.845070422535,1.31866197183,75.8509389671,TE
A.Smith,A.Wilson,57,35.0,451.0,2.0,3.0,0.614035087719,7.91228070175,0.0350877192982,0.0526315789474,1.5701754386,1.22807017544,0.701754385965,1.05921052632,75.9868421053,WR
S.Bradford,D.Sproles,65,44.0,297.0,0.0,0.0,0.676923076923,4.56923076923,0.0,0.0,1.88461538462,0.392307692308,0.0,2.375,77.5320512821,RB
M.Mariota,H.Douglas,54,26.0,298.0,2.0,0.0,0.481481481481,5.51851851852,0.037037037037,0.0,0.907407407407,0.62962962963,0.740740740741,2.375,77.5462962963,WR
B.Bortles,J.Thomas,80,46.0,455.0,5.0,3.0,0.575,5.6875,0.0625,0.0375,1.375,0.671875,1.25,1.4375,78.90625,TE
B.Osweiler,D.Thomas,79,42.0,526.0,5.0,3.0,0.53164556962,6.6582278481,0.0632911392405,0.0379746835443,1.1582278481,0.914556962025,1.26582278481,1.42563291139,79.4040084388,WR
J.Flacco,K.Aiken,66,37.0,456.0,3.0,2.0,0.560606060606,6.90909090909,0.0454545454545,0.030303030303,1.30303030303,0.977272727273,0.909090909091,1.61742424242,80.1136363636,WR
M.Ryan,J.Tamme,80,59.0,657.0,1.0,4.0,0.7375,8.2125,0.0125,0.05,2.1875,1.303125,0.25,1.125,81.09375,TE
S.Bradford,Z.Ertz,105,71.0,816.0,2.0,4.0,0.67619047619,7.77142857143,0.0190476190476,0.0380952380952,1.88095238095,1.19285714286,0.380952380952,1.42261904762,81.2896825397,TE
